playerID,birthCountry,birthState,playertype,lat,lon,birthCity,nameFirst,nameLast,nameGiven,weight,height,bats,throws,debut,finalGame,retroID,bbrefID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO
alvarda02,Cuba,Cuba,AllStar,21.521757,-77.781167,Camaguey,Dariel,Alvarez,Dariel,180,74,R,R,8/28/2015,9/30/2015,alvad002,alvarda02,12,29,3,7,1,0,1,1,0,0,2,8
alvarga01,Mexico,Mexico,AllStar,23.634501,-102.552784,Navojoa,Gabe,Alvarez,Gabriel de Jesus,185,73,R,R,6/22/1998,9/30/2000,alvag001,alvarga01,58,199,16,46,11,0,5,29,1,3,18,65
alvarhe01,Venezuela,Venezuela,AllStar,6.42375,-66.58973,Valencia,Henderson,Alvarez,Henderson Javier,205,72,R,R,8/10/2011,5/22/2015,alvah001,alvarhe01,10,0,0,0,0,0,0,0,0,0,0,0
alvarjo02,Venezuela,Venezuela,AllStar,6.42375,-66.58973,Barcelona,Jose,Alvarez,Jose Ricardo,180,71,L,L,6/9/2013,10/3/2015,alvaj003,alvarjo02,14,1,0,0,0,0,0,0,0,0,1,0
alvaros01,Cuba,Cuba,AllStar,21.521757,-77.781167,Bolondron,Ossie,Alvarez,Oswaldo,165,70,R,R,4/19/1958,4/26/1959,alvao101,alvaros01,87,196,20,41,3,0,0,5,1,1,16,26
alvarpe01,D.R.,Dominican Republic,AllStar,18.735693,-70.162651,Santo Domingo,Pedro,Alvarez,Pedro Manuel,250,75,L,R,6/16/2010,10/4/2015,alvap001,alvarpe01,95,347,42,89,21,1,16,64,0,0,37,119
alvarro01,Cuba,Cuba,AllStar,21.521757,-77.781167,Pinar del Rio,Rogelio,Alvarez,Rogelio,183,71,R,R,9/18/1960,9/28/1962,alvar101,alvarro01,3,9,1,1,0,0,0,0,0,0,0,3
alvarta01,Mexico,Mexico,AllStar,23.634501,-102.552784,Ciudad Obregon,Tavo,Alvarez,Cesar Octavio,245,75,R,R,8/21/1995,9/29/1996,alvat001,alvarta01,8,12,1,0,0,0,0,0,0,0,0,4
alvarto01,Venezuela,Venezuela,AllStar,6.42375,-66.58973,Caracas,Tony,Alvarez,Antonio Enrique,200,73,R,R,9/4/2002,10/3/2004,alvat002,alvarto01,14,26,6,8,2,0,1,2,1,0,3,5
alvarvi01,Mexico,Mexico,AllStar,23.634501,-102.552784,Culiacan,Victor,Alvarez,Victor Aurelio,150,70,L,L,7/30/2002,8/26/2003,alvav001,alvarvi01,4,2,0,0,0,0,0,0,0,0,0,2
alvarwi01,Venezuela,Venezuela,AllStar,6.42375,-66.58973,Maracaibo,Wilson,Alvarez,Wilson Eduardo,175,73,L,L,7/24/1989,9/28/2005,alvaw001,alvarwi01,1,0,0,0,0,0,0,0,0,0,0,0
amarial01,Venezuela,Venezuela,AllStar,6.42375,-66.58973,Barcelona,Alexi,Amarista,Alexi Jose,160,66,L,R,4/26/2011,10/4/2015,amara001,amarial01,23,52,2,8,3,1,0,5,0,0,2,8
amaroru01,Mexico,Mexico,AllStar,23.634501,-102.552784,Nuevo Laredo,Ruben,Amaro,Ruben,170,71,R,R,6/29/1958,9/28/1969,amarr101,amaroru01,40,76,8,17,2,1,0,0,0,1,5,8
amezaal01,Mexico,Mexico,AllStar,23.634501,-102.552784,Ciudad Obregon,Alfredo,Amezaga,Alfredo,165,71,B,R,5/24/2002,9/4/2011,ameza001,amezaal01,12,13,3,7,2,0,0,2,1,0,0,1
amorosa01,Cuba,Cuba,AllStar,21.521757,-77.781167,La Habana,Sandy,Amoros,Edmundo,170,67,L,L,8/22/1952,10/2/1960,amors101,amorosa01,20,44,10,11,3,1,0,3,1,0,5,14
amorvi01,Cuba,Cuba,AllStar,21.521757,-77.781167,La Habana,Vicente,Amor,Vicente,182,75,R,R,4/16/1955,8/26/1957,amorv101,amorvi01,4,0,0,0,0,0,0,0,0,0,0,0
anderjo01,Norway,Norway,AllStar,60.472024,8.468946,Sarpsborg,John,Anderson,John Joseph,180,74,B,R,1894-09-08,10/2/1908,andej101,anderjo01,17,63,14,19,1,3,1,19,7,0,3,3
andruel01,Venezuela,Venezuela,AllStar,6.42375,-66.58973,Maracay,Elvis,Andrus,Elvis Augusto,200,72,R,R,4/6/2009,10/4/2015,andre001,andruel01,145,480,72,128,17,8,6,40,33,6,40,77
andruwi01,CAN,Canada,AllStar,56.130366,-106.346771,Orono,Wyman,Andrus,William Wiman,155,66,,,1885-09-15,1885-09-15,andrw101,andruwi01,1,4,0,0,0,0,0,0,0,0,0,1
andujjo01,D.R.,Dominican Republic,AllStar,18.735693,-70.162651,San Pedro de Macoris,Joaquin,Andujar,Joaquin,170,72,B,R,4/8/1976,9/30/1988,anduj001,andujjo01,28,57,4,8,1,0,0,1,0,0,2,29
andujlu01,D.R.,Dominican Republic,AllStar,18.735693,-70.162651,Bani,Luis,Andujar,Luis,175,74,R,R,9/8/1995,6/28/1998,andul001,andujlu01,5,0,0,0,0,0,0,0,0,0,0,0
aokino01,Japan,Japan,HallofFame,36.204824,138.252924,Hyuga,Nori,Aoki,Norichika,180,69,L,R,4/6/2012,9/3/2015,aokin001,aokino01,151,520,81,150,37,4,10,50,30,8,43,55
aparilu01,Venezuela,Venezuela,AllStar,6.42375,-66.58973,Maracaibo,Luis,Aparicio,Luis Ernesto,160,69,R,R,4/17/1956,9/28/1973,aparl101,aparilu01,152,533,69,142,19,6,3,56,21,4,34,63
apontlu01,Venezuela,Venezuela,AllStar,6.42375,-66.58973,El Tigre,Luis,Aponte,Luis Eduardo,185,72,R,R,9/4/1980,7/6/1984,aponl001,apontlu01,4,0,0,0,0,0,0,0,0,0,0,0
aquingr01,D.R.,Dominican Republic,AllStar,18.735693,-70.162651,Puerto Palenque,Greg,Aquino,Gregori Emilio,190,73,R,R,7/2/2004,6/17/2009,aquig001,aquingr01,34,1,0,0,0,0,0,0,0,0,0,0
aragoan01,Cuba,Cuba,AllStar,21.521757,-77.781167,La Habana,Angel,Aragon,Angel,150,65,R,R,8/20/1914,7/21/1917,araga101,aragoan01,6,7,1,1,0,0,0,0,0,0,1,2
aragoja01,Cuba,Cuba,AllStar,21.521757,-77.781167,La Habana,Jack,Aragon,Angel Valdes,176,70,R,R,8/13/1941,8/13/1941,aragj101,aragoja01,1,0,0,0,0,0,0,0,0,0,0,0
araujel01,Venezuela,Venezuela,AllStar,6.42375,-66.58973,Maracaibo,Elvis,Araujo,Elvis Alejandro,270,79,L,L,5/5/2015,8/27/2015,araue001,araujel01,40,1,0,0,0,0,0,0,0,0,0,1
archeji01,Ireland,Ireland,AllStar,53.41291,-8.24389,Dublin,Jimmy,Archer,James Patrick,168,70,R,R,9/6/1904,9/2/1918,archj102,archeji01,7,20,1,3,0,0,0,1,0,0,0,0
arciajo01,Cuba,Cuba,AllStar,21.521757,-77.781167,La Habana,Jose,Arcia,Jose Raimundo,170,75,R,R,4/10/1968,9/30/1970,arcij101,arciajo01,59,84,15,16,4,0,1,8,0,0,3,24
arciaos01,Venezuela,Venezuela,AllStar,6.42375,-66.58973,Anaco,Oswaldo,Arcia,Oswaldo Celestino,225,72,L,R,4/15/2013,5/3/2015,arcio001,arciaos01,97,351,34,88,17,2,14,43,1,2,23,117
ardizru01,Italy,Italy,AllStar,41.87194,12.56738,Oleggio,Rugger,Ardizoia,Rinaldo Joseph,180,71,R,R,4/30/1947,4/30/1947,ardir101,ardizru01,1,0,0,0,0,0,0,0,0,0,0,0
ariasal02,D.R.,Dominican Republic,AllStar,18.735693,-70.162651,Santo Domingo,Alberto,Arias,Alberto A.,155,71,R,R,5/1/2007,8/23/2009,ariaa002,ariasal02,6,2,0,0,0,0,0,0,0,0,0,2
ariasjo01,D.R.,Dominican Republic,AllStar,18.735693,-70.162651,Santo Domingo,Joaquin,Arias,Joaquin,165,73,R,R,9/13/2006,7/24/2015,ariaj001,ariasjo01,6,11,4,6,1,0,0,1,0,1,1,0
ariasru01,Cuba,Cuba,AllStar,21.521757,-77.781167,Las Villas,Rudy,Arias,Rodolfo,165,70,L,L,4/10/1959,8/26/1959,ariar101,ariasru01,34,4,0,0,0,0,0,0,0,0,0,2
armasma01,Venezuela,Venezuela,AllStar,6.42375,-66.58973,Puerto Piritu,Marcos,Armas,Marcos Rafael,190,77,R,R,5/25/1993,9/29/1993,armam001,armasma01,15,31,7,6,2,0,1,1,1,0,1,12
armasto01,Venezuela,Venezuela,AllStar,6.42375,-66.58973,Puerto Piritu,Tony,Armas,Antonio Rafael,182,71,R,R,9/6/1976,10/1/1989,armat001,armasto01,4,6,0,2,0,0,0,1,0,0,0,2
armasto02,Venezuela,Venezuela,AllStar,6.42375,-66.58973,Puerto Piritu,Tony,Armas,Antonio Jose,205,76,R,R,8/16/1999,7/7/2008,armat002,armasto02,1,2,0,0,0,0,0,0,0,0,0,1
armbred01,Bahamas,Bahamas,AllStar,25.03428,-77.39628,Nassau,Ed,Armbrister,Edison Rosanda,160,71,R,R,8/31/1973,10/2/1977,armbe101,armbred01,18,37,5,8,3,1,1,5,0,0,2,8
arochre01,Cuba,Cuba,AllStar,21.521757,-77.781167,La Habana,Rene,Arocha,Rene,180,72,R,R,4/9/1993,6/6/1997,arocr001,arochre01,32,58,3,6,1,0,0,3,0,0,2,24
arojo01,D.R.,Dominican Republic,AllStar,18.735693,-70.162651,La Vega,Jonathan,Aro,Jonathan Arturo,235,72,R,R,6/25/2015,10/2/2015,aro-j001,arojo01,6,0,0,0,0,0,0,0,0,0,0,0
arredjo01,D.R.,Dominican Republic,AllStar,18.735693,-70.162651,San Pedro de Macoris,Jose,Arredondo,Jose Juan,190,72,R,R,5/14/2008,10/3/2012,arrej001,arredjo01,52,0,0,0,0,0,0,0,0,0,0,0
arrojro01,Cuba,Cuba,AllStar,21.521757,-77.781167,Santa Clara,Rolando,Arrojo,Luis Rolando,215,76,R,R,4/1/1998,9/22/2002,arror001,arrojro01,32,3,0,0,0,0,0,0,0,0,0,2
arrueer01,Cuba,Cuba,AllStar,21.521757,-77.781167,Cienfuegos,Erisbel,Arruebarrena,Barbaro Erisbel,230,73,R,R,5/23/2014,9/28/2014,arrue001,arrueba01,22,41,4,8,1,0,0,4,0,0,3,17
ascanjo01,Venezuela,Venezuela,AllStar,6.42375,-66.58973,Maracay,Jose,Ascanio,Jose Eleazar,195,71,R,R,7/13/2007,6/5/2011,ascaj001,ascanjo01,13,0,0,0,0,0,0,0,0,0,0,0
asencmi01,D.R.,Dominican Republic,HallofFame,18.735693,-70.162651,Villa Mella,Miguel,Asencio,Miguel,190,74,R,R,4/6/2002,4/29/2006,asenm001,asencmi01,31,2,0,0,0,0,0,0,0,0,0,1
astacez01,D.R.,Dominican Republic,AllStar,18.735693,-70.162651,Hato Mayor del Rey,Ezequiel,Astacio,Ezequiel F.,200,75,R,R,5/3/2005,5/10/2006,astae001,astacez01,22,21,0,3,0,0,0,0,0,0,0,12
astacpe01,D.R.,Dominican Republic,AllStar,18.735693,-70.162651,Hato Mayor del Rey,Pedro,Astacio,Pedro Julio,174,74,R,R,7/3/1992,9/27/2006,astap001,astacpe01,11,24,2,3,0,0,0,1,0,0,0,14
atkinbi01,CAN,Canada,AllStar,56.130366,-106.346771,Chatham,Bill,Atkinson,William Cecil Glenn,165,67,L,R,9/18/1976,9/26/1979,atkib101,atkinbi01,4,0,0,0,0,0,0,0,0,0,0,0
aucoide01,CAN,Canada,AllStar,56.130366,-106.346771,Lachine,Derek,Aucoin,Derek Alfred,235,79,R,R,5/21/1996,5/25/1996,aucod001,aucoide01,2,0,0,0,0,0,0,0,0,0,0,0
aumonph01,CAN,Canada,AllStar,56.130366,-106.346771,Gatineau,Phillippe,Aumont,Phillippe,240,79,L,R,8/23/2012,6/19/2015,aumop001,aumonph01,18,0,0,0,0,0,0,0,0,0,0,0
austiji01,United Kingdom,United Kingdom,AllStar,55.378051,-3.435973,Swansea,Jimmy,Austin,James Philip,155,67,B,R,4/19/1909,10/6/1929,austj101,austiji01,136,437,37,101,11,5,1,39,30,0,32,0
avilabo01,Mexico,Mexico,AllStar,23.634501,-102.552784,Veracruz,Bobby,Avila,Roberto Francisco,175,70,R,R,4/30/1949,9/29/1959,avilb101,avilabo01,31,14,3,3,0,0,0,3,0,0,1,3
avilalu01,Venezuela,Venezuela,AllStar,6.42375,-66.58973,Caracas,Luis,Avilan,Luis Armando,220,74,L,L,7/14/2012,10/4/2015,avill001,avilalu01,31,3,0,1,0,0,0,0,0,0,0,0
axforjo01,CAN,Canada,AllStar,56.130366,-106.346771,Simcoe,John,Axford,John Berton,220,77,R,R,9/15/2009,10/4/2015,axfoj001,axforjo01,7,0,0,0,0,0,0,0,0,0,0,0
ayalalu01,Mexico,Mexico,AllStar,23.634501,-102.552784,Los Mochis,Luis,Ayala,Luis Ignacio,205,74,R,R,3/31/2003,9/29/2013,ayall001,ayalalu01,65,1,0,0,0,0,0,0,0,0,0,0
aybarer01,D.R.,Dominican Republic,AllStar,18.735693,-70.162651,Bani,Erick,Aybar,Erick Johan,180,70,B,R,5/16/2006,10/4/2015,aybae001,aybarer01,34,40,5,10,1,1,0,2,1,0,0,8
aybarma01,D.R.,Dominican Republic,AllStar,18.735693,-70.162651,Bani,Manny,Aybar,Manuel Antonio,165,73,R,R,8/4/1997,6/10/2005,aybam001,aybarma01,12,21,0,3,0,0,0,1,0,0,0,9
aybarwi01,D.R.,Dominican Republic,AllStar,18.735693,-70.162651,Bani,Willy,Aybar,Willy Del Jesus,205,71,B,R,8/31/2005,10/3/2010,aybaw001,aybarwi01,26,86,12,28,8,0,1,10,3,1,18,11
azcuejo01,Cuba,Cuba,AllStar,21.521757,-77.781167,Cienfuegos,Joe,Azcue,Jose Joaquin,190,72,R,R,8/3/1960,9/29/1972,azcuj101,azcuejo01,14,31,1,3,0,0,0,3,0,1,2,6
azocaos01,Venezuela,Venezuela,AllStar,6.42375,-66.58973,Soro,Oscar,Azocar,Oscar Gregorio,170,73,L,L,7/17/1990,10/4/1992,azoco001,azocaos01,65,214,18,53,8,0,5,19,7,0,2,15
baekch01,South Korea,South Korea,AllStar,35.907757,127.766922,Pusan,Cha-Seung,Baek,Cha-Seung,190,76,R,R,8/8/2004,9/28/2008,baekc001,baekch01,7,0,0,0,0,0,0,0,0,0,0,0
baezbe01,D.R.,Dominican Republic,AllStar,18.735693,-70.162651,Bonao,Benito,Baez,Benito,160,72,L,L,8/25/2001,10/5/2001,baezb001,baezbe01,8,1,0,0,0,0,0,0,0,0,0,0
baezda01,Cuba,Cuba,AllStar,21.521757,-77.781167,Pinar del Rio,Danys,Baez,Danys G.,225,75,R,R,5/13/2001,7/16/2011,baezd001,baezda01,43,0,0,0,0,0,0,0,0,0,0,0
baezjo01,D.R.,Dominican Republic,AllStar,18.735693,-70.162651,San Cristobal,Jose,Baez,Jose Antonio,160,68,R,R,4/6/1977,6/6/1978,baezj101,baezjo01,91,305,39,79,14,1,1,17,6,1,19,20
baezpe01,D.R.,Dominican Republic,AllStar,18.735693,-70.162651,Bani,Pedro,Baez,Pedro Alberys,230,72,R,R,5/5/2014,10/4/2015,baezp001,baezpe01,20,0,0,0,0,0,0,0,0,0,0,0
bahred01,CAN,Canada,AllStar,56.130366,-106.346771,Rouleau,Ed,Bahr,Edson Garfield,172,73,R,R,5/1/1946,7/4/1947,bahre101,bahred01,29,45,2,8,0,1,0,5,0,0,0,10
bakerje03,Germany,Germany,AllStar,51.165691,10.451526,Bad Kissingen,Jeff,Baker,Jeffrey Glen,220,74,R,R,4/4/2005,7/7/2015,bakej001,bakerje03,12,38,6,8,4,0,1,4,0,0,5,12
balazjo01,CAN,Canada,AllStar,56.130366,-106.346771,Toronto,John,Balaz,John Lawrence,180,75,R,R,9/10/1974,9/28/1975,balaj101,balazjo01,14,42,4,10,0,0,1,5,0,0,2,10
balenwl01,Curacao,Curacao,HallofFame,#N/A,#N/A,Willemstad,Wladimir,Balentien,Wladimir Ramon,220,74,R,R,9/4/2007,10/2/2009,balew001,balenwl01,3,3,1,2,1,0,1,4,0,0,0,0
balfogr01,Australia,Australia,AllStar,-25.274398,133.775136,Sydney,Grant,Balfour,Grant Robert,200,74,R,R,7/22/2001,4/18/2015,balfg001,balfogr01,2,0,0,0,0,0,0,0,0,0,0,0
banuema01,Mexico,Mexico,AllStar,23.634501,-102.552784,Gomez Palacio,Manny,Banuelos,Manuel,205,70,R,L,7/2/2015,9/6/2015,banum001,banuema01,7,3,0,0,0,0,0,0,0,0,0,1
barcelo01,D.R.,Dominican Republic,AllStar,18.735693,-70.162651,San Pedro de Macoris,Lorenzo,Barcelo,Lorenzo Antonio,230,76,R,R,7/22/2000,4/19/2002,barcl001,barcelo01,22,0,0,0,0,0,0,0,0,0,0,0
barfijo02,Venezuela,Venezuela,AllStar,6.42375,-66.58973,Barquisimeto,Josh,Barfield,Joshua LaRoy,190,72,R,R,4/3/2006,6/25/2009,barfj003,barfijo02,150,539,72,151,32,3,13,58,21,5,30,81
barojsa01,Mexico,Mexico,AllStar,23.634501,-102.552784,Cordoba,Salome,Barojas,Salome,160,69,R,R,4/11/1982,9/26/1988,baros001,barojsa01,61,0,0,0,0,0,0,0,0,0,0,0
barrage01,Mexico,Mexico,AllStar,23.634501,-102.552784,Veracruz,German,Barranca,German,160,72,L,R,9/2/1979,7/11/1982,barrg101,barrage01,5,5,3,3,1,0,0,0,3,1,0,0
barrifr01,Mexico,Mexico,AllStar,23.634501,-102.552784,Hermosillo,Francisco,Barrios,Francisco Javier,155,71,R,R,8/18/1974,6/3/1981,barrf101,barrifr01,2,0,0,0,0,0,0,0,0,0,0,0
barrima01,Panama,Panama,AllStar,8.537981,-80.782127,Cabecera,Manuel,Barrios,Manuel Antonio,170,72,R,R,9/16/1997,7/3/1998,barrm002,barrima01,2,0,0,0,0,0,0,0,0,0,0,0
barriyh01,Colombia,Colombia,AllStar,4.570868,-74.297333,Cartagena,Yhonathan,Barrios,Yhonathan,200,70,B,R,9/24/2015,10/4/2015,barry001,barriyh01,5,0,0,0,0,0,0,0,0,0,0,0
bartovi01,CAN,Canada,AllStar,56.130366,-106.346771,Edmonton,Vince,Barton,Vincent David,180,72,L,R,7/17/1931,7/24/1932,bartv101,bartovi01,66,239,45,57,10,1,13,50,1,0,21,40
bastaan01,D.R.,Dominican Republic,AllStar,18.735693,-70.162651,Hato Mayor del Rey,Antonio,Bastardo,Antonio Francisco,205,71,R,L,6/2/2009,10/2/2015,basta001,bastaan01,6,6,0,0,0,0,0,0,0,0,0,3
batismi01,D.R.,Dominican Republic,AllStar,18.735693,-70.162651,Santo Domingo,Miguel,Batista,Miguel Jerez,210,73,R,R,4/11/1992,9/11/2012,batim001,batismi01,1,0,0,0,0,0,0,0,0,0,0,0
batisra01,D.R.,Dominican Republic,AllStar,18.735693,-70.162651,San Pedro de Macoris,Rafael,Batista,Rafael,195,73,L,L,6/17/1973,4/27/1975,batir101,batisra01,12,15,2,4,0,0,0,2,0,0,1,6
batisto01,D.R.,Dominican Republic,AllStar,18.735693,-70.162651,Puerto Plata,Tony,Batista,Leocadio Francisco,180,72,R,R,6/3/1996,9/30/2007,batit001,batisto01,74,238,38,71,10,2,6,25,7,3,19,49
bautaed01,Cuba,Cuba,AllStar,21.521757,-77.781167,Florida,Ed,Bauta,Eduardo,200,75,R,R,7/6/1960,5/9/1964,baute101,bautaed01,9,1,0,0,0,0,0,0,0,0,0,0
bautida01,D.R.,Dominican Republic,AllStar,18.735693,-70.162651,Santo Domingo,Danny,Bautista,Daniel,170,71,R,R,9/15/1993,9/28/2004,bautd001,bautida01,17,61,6,19,3,0,1,9,3,1,1,10
bautide01,D.R.,Dominican Republic,AllStar,18.735693,-70.162651,Sanchez,Denny,Bautista,Denny M.,190,77,R,R,5/25/2004,8/4/2010,bautd002,bautide01,2,0,0,0,0,0,0,0,0,0,0,0
bautijo01,D.R.,Dominican Republic,AllStar,18.735693,-70.162651,Bani,Jose,Bautista,Jose Joaquin,177,73,R,R,4/9/1988,9/25/1997,bautj001,bautijo01,33,0,0,0,0,0,0,0,0,0,0,0
bautijo02,D.R.,Dominican Republic,AllStar,18.735693,-70.162651,Santo Domingo,Jose,Bautista,Jose Antonio,205,72,R,R,4/4/2004,10/4/2015,bautj002,bautijo02,16,11,3,3,0,0,0,0,0,0,1,3
bayja01,CAN,Canada,AllStar,56.130366,-106.346771,Trail,Jason,Bay,Jason Raymond,210,74,R,R,5/23/2003,7/26/2013,bay-j001,bayja01,3,8,2,2,1,0,1,2,0,0,1,1
bazaryo01,Venezuela,Venezuela,AllStar,6.42375,-66.58973,Maracay,Yorman,Bazardo,Yorman Michael,230,74,R,R,5/26/2005,10/3/2009,bazay001,bazaryo01,1,1,0,0,0,0,0,0,0,0,0,1
beatope01,D.R.,Dominican Republic,AllStar,18.735693,-70.162651,Santo Domingo,Pedro,Beato,Pedro,230,78,R,R,4/1/2011,6/18/2014,beatp001,beatope01,60,0,0,0,0,0,0,0,0,0,0,0
beckehe02,Germany,Germany,AllStar,51.165691,10.451526,Berlin,Heinz,Becker,Heinz Reinhard,200,74,B,R,4/21/1943,5/9/1947,beckh102,beckehe02,24,69,5,10,0,0,0,2,0,0,9,6
becquju01,Cuba,Cuba,HallofFame,21.521757,-77.781167,La Habana,Julio,Becquer,Julio,178,71,L,L,9/13/1955,9/18/1963,becqj101,becquju01,10,14,1,3,0,0,0,1,0,0,0,1
bedarer01,CAN,Canada,AllStar,56.130366,-106.346771,Navan,Erik,Bedard,Erik Joseph,195,73,L,L,4/17/2002,7/12/2014,bedae001,bedarer01,2,0,0,0,0,0,0,0,0,0,0,0
