Player ID,Name,Legal Name,Player Type,Status,Weight,Height,Birth Year,Birth Year Category,Birth State,Birth Country,Latitude,Longitude,Debut,Final Game,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,Bats,Throws
malavjo01,Jose Malave,Jose Francisco,AllStar,Inactive,212.0,74.0,1971,1970-1979,Sucre,Venezuela,6.42375,-66.58973,1996-05-23,1997-08-30,41.0,102.0,12.0,24.0,3.0,0.0,4.0,17.0,0.0,0.0,2.0,25.0,R,R
maldoca02,Carlos Maldonado,Carlos Cesar,AllStar,Inactive,175.0,74.0,1966,1960-1969,,Panama,8.537981,-80.782127,1990-09-16,1993-10-03,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,R
maldoca03,Carlos Maldonado,Carlos Luis,AllStar,Inactive,260.0,74.0,1979,1970-1979,Zulia,Venezuela,6.42375,-66.58973,2006-09-08,2012-05-29,8.0,19.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,10.0,R,R
malonfe01,Fergy Malone,Fergus G.,AllStar,Active,156.0,68.0,1844,1840-1849,Tyrone,Ireland,53.41291,-8.24389,1871-06-03,1884-04-17,27.0,134.0,33.0,46.0,7.0,1.0,1.0,33.0,9.0,3.0,9.0,4.0,R,L
malonjo01,John Maloney,John,AllStar,Inactive,,,nan,,,,,,1876-09-15,1877-08-28,2.0,7.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,,
malonma01,Martin Malone,Martin,AllStar,Inactive,,,nan,,,,,,1872-06-20,1872-09-13,5.0,16.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,,
manniti01,Tim Manning,Timothy Edward,AllStar,Inactive,170.0,70.0,1853,1850-1859,Oxfordshire,United Kingdom,55.378051,-3.435973,1882-05-01,1885-07-20,21.0,76.0,7.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,5.0,13.0,R,R
manonju01,Julio Manon,Julio Alberto,AllStar,Inactive,200.0,72.0,1973,1970-1979,Distrito Nacional,D.R.,18.735693,-70.162651,2003-06-05,2006-10-01,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,L,R
manonra01,Ramon Manon,Ramon,AllStar,Inactive,150.0,72.0,1968,1960-1969,Distrito Nacional,D.R.,18.735693,-70.162651,1990-04-19,1990-04-19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,R
manrifr01,Fred Manrique,Fred Eloy,AllStar,Active,175.0,73.0,1961,1960-1969,Bolivar,Venezuela,6.42375,-66.58973,1981-08-23,1991-05-11,14.0,28.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,12.0,R,R
